pano,ONSConstID,ConstituencyName,Country,Region,Con17,Lab17,LD17,SNP17,PC17,UKIP17,Green17,Other17,Con15,Lab15,LD15,SNP15,PC15,UKIP15,Green15,Other15,Leave16_Hanretty
1,W07000049,Aberavon,Wales,Wales,17.74,68.12,1.8,0,8.3,4.04,0,0,11.87,48.9,4.43,0,11.62,15.77,2.26,5.15,60.12
2,W07000058,Aberconwy,Wales,Wales,44.59,42.62,2.93,0,9.86,0,0,0,41.51,28.24,4.61,0,11.73,11.5,2.41,0,52.20
3,S14000001,Aberdeen North,Scotland,Scotland,22.69,30.01,4.61,41.27,0,0,0,1.42,12.07,25.94,4.67,56.43,0,0,0,0.89,43.09
4,S14000002,Aberdeen South,Scotland,Scotland,42.13,20.55,5.87,31.45,0,0,0,0,22.84,26.76,4.64,41.65,0,1.85,1.99,0.29,32.14
5,S14000058,West Aberdeenshire and Kincardine,Scotland,Scotland,47.85,11.05,8.64,32.45,0,0,0,0,28.84,4.51,21.4,41.58,0,1.82,1.6,0.26,38.52
6,S14000003,Airdrie and Shotts,Scotland,Scotland,23.19,37.09,2.11,37.61,0,0,0,0,7.65,34.11,1.53,53.94,0,2.46,0,0.31,39.84
7,E14000530,Aldershot,England,South East,55.06,31.62,7.43,0,0,3.67,2.23,0,50.59,18.33,8.82,0,0,17.87,4.38,0,57.90
8,E14000531,Aldridge-Brownhills,England,West Midlands,65.41,29.85,3.34,0,0,0,0,1.4,52.05,22.37,3.37,0,0,19.62,2.09,0.5,67.80
9,E14000532,Altrincham and Sale West,England,North West,51.02,38.85,7.67,0,0,0,1.89,0.57,52.99,26.69,8.38,0,0,8.01,3.93,0,38.59
10,W07000043,Alyn and Deeside,Wales,Wales,40.39,52.09,2.41,0,2.62,2.5,0,0,31.94,40.03,4.19,0,3.89,17.57,2.36,0,58.05
11,E14000533,Amber Valley,England,East Midlands,56.55,38.43,2.4,0,0,0,1.42,1.2,43.98,34.78,2.97,0,0,15.89,2.38,0,65.30
12,S14000004,Angus,Scotland,Scotland,45.15,13.02,3.25,38.57,0,0,0,0,29,8.81,2.73,54.24,0,3.05,2.17,0,48.24
16,W07000057,Arfon,Wales,Wales,16.36,40.51,2.3,0,40.84,0,0,0,13.12,30.26,2.68,0,43.93,8.48,0,1.52,35.85
17,S14000005,Argyll and Bute,Scotland,Scotland,33.24,12.57,18.19,36,0,0,0,0,14.9,10.4,27.92,44.25,0,2.53,0,0,39.43
18,E14000534,Arundel and South Downs,England,South East,62.36,22.72,7.94,0,0,2.77,4.22,0,60.79,11.2,7.19,0,0,14.44,6.38,0,49.70
19,E14000535,Ashfield,England,East Midlands,41.69,42.58,1.94,0,0,3.77,0.8,9.23,22.42,41.02,14.83,0,0,21.41,0,0.32,70.47
20,E14000536,Ashford,England,South East,58.98,29.79,5.18,0,0,3.7,2.34,0,52.45,18.44,5.98,0,0,18.82,4.3,0,59.86
21,E14000537,Ashton-under-Lyne,England,North West,31.96,60.36,1.62,0,0,4.72,1.34,0,22.12,49.76,2.42,0,0,21.76,3.93,0,61.81
22,E14000538,Aylesbury,England,South East,54.97,30.04,9.63,0,0,2.2,2.1,1.05,50.67,15.14,10.62,0,0,19.71,3.85,0,51.79
