Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
124923,AESTHINT 15,Elements of Rhetoric,001,General Education,"Engell,James",23,0,0,0,0,0,0,23
126634,AESTHINT 40,Monuments of Islamic Architec,001,General Education,"Necipoglu-Kafadar,Gulru",8,2,0,1,0,0,0,11
127015,AESTHINT 50,Literature and Medicine,001,General Education,"Thornber,Karen Laura",90,0,0,1,0,0,0,91
125611,AESTHINT 53,Anime as Global Pop Culture,001,General Education,"Yoda,Tomiko",44,0,0,1,0,0,0,45
108455,AESTHINT 55,"Shakespeare, The Early Plays",001,General Education,"Garber,Marjorie",36,0,0,0,0,0,0,36
108950,AESTHINT 58,Modern Art and Modernity,001,General Education,"Lajer-Burcharth,Ewa",88,2,0,1,0,0,0,91
108580,AESTHINT 59,Nazi Cinema,001,General Education,"Rentschler,Eric",44,0,0,0,0,0,0,44
156264,AESTHINT 62,California in the 60s,001,General Education,"van Orden,Kate",99,0,0,0,0,0,0,99
207719,AFRAMER 100X,The Black Intellectual,01,African & African Amer Studies,"McCarthy,Jesse",20,1,0,0,0,0,0,21
123591,AFRAMER 11,Introduction to African Studie,001,African & African Amer Studies,"Olupona,Jacob",11,0,0,0,0,0,1,12
156935,AFRAMER 116,Autobiography and Memoir,01,African & African Amer Studies,"Kincaid,Jamaica",9,1,0,2,0,0,0,12
110493,AFRAMER 117Y,Specters of Race and Paroxysms,01,African & African Amer Studies,"Jeyifo,Biodun",25,0,0,0,0,0,0,25
144199,AFRAMER 118,The Hist of African Americans,01,African & African Amer Studies,"Brown,Vincent",12,4,0,1,0,0,0,17
156254,AFRAMER 123X,Mass Incarceration in Historic,001,African & African Amer Studies,"Hinton,Elizabeth Kai",38,1,0,0,0,0,0,39
204505,AFRAMER 123Y,Histori Phil of W.E.B. Du Bois,001,African & African Amer Studies,"West,Cornel",26,1,1,6,0,0,0,34
208092,AFRAMER 131X,"Faulkner, Interracialism and P",01,African & African Amer Studies,"Chavers,Linda",9,0,0,0,0,0,0,9
208035,AFRAMER 133X,Zora Neale Hurston,01,African & African Amer Studies,"Frederick,Marla",3,2,0,3,0,0,0,8
123434,AFRAMER 137,"Lit, Oratory, Pop Music Pol Li",001,African & African Amer Studies,"Jeyifo,Biodun",1,2,0,0,0,0,0,3
108837,AFRAMER 145X,The Hiphop Cipher,01,African & African Amer Studies,"Morgan,Marcyliena",36,0,0,0,0,0,0,36
204051,AFRAMER 150X,"Race, Racism, American Politic",01,African & African Amer Studies,"Bobo,Lawrence",17,1,0,0,0,0,0,18
207977,AFRAMER 154X,Learning How to Learn Language,01,African & African Amer Studies,"Mugane,John M",3,0,0,0,0,0,0,3
124607,AFRAMER 182,From R & B to Neo Soul,01,African & African Amer Studies,"Monson,Ingrid",123,1,0,3,0,0,1,128
123438,AFRAMER 187,African Religions,001,African & African Amer Studies,"Olupona,Jacob",1,2,0,0,0,0,0,3
207767,AFRAMER 199Z,Majesty and Mythology in Afric,01,African & African Amer Studies,"Blier,Suzanne",1,3,0,2,0,0,0,6
108680,AFRAMER 209A,Africa Rising? New African Eco,001,African & African Amer Studies,"Comaroff,John",23,2,1,2,0,0,0,28
115727,AFRAMER 301,Graduate Proseminar,001,African & African Amer Studies,"Morgan,Marcyliena",0,4,0,0,0,0,0,4
207794,AFRAMER 305,"Social Theory, In Out Africa",001,African & African Amer Studies,"Comaroff,John",0,7,0,1,0,0,0,8
119827,AFRAMER 391,Directed Writing,001,African & African Amer Studies,"Bobo,Lawrence",0,1,0,0,0,0,0,1
210981,AFRAMER 392,"Teaching, Writing, and Researc",001,African & African Amer Studies,,0,17,0,0,0,0,0,17
118023,AFRAMER 98,Junior Tutorial - African Am,001,African & African Amer Studies,"Monson,Ingrid",1,0,0,0,0,0,0,1
124132,AFRAMER 99A,Senior Thesis Workshop,001,African & African Amer Studies,"Monson,Ingrid",3,0,0,0,0,0,0,3
205835,AFRIKAAN 101AR,Advanced Afrikaans,001,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2
109427,AFRIKAAN AA,Elementary Afrikaans,001,African & African Amer Studies,"Mugane,John M",23,0,0,0,0,0,0,23
205832,AFRIKAAN BA,Intermediate Afrikaans,001,African & African Amer Studies,"Mugane,John M",12,0,0,0,0,0,0,12
111624,AKKAD 154,Peripheral Akkadian,001,Near Eastern Languages & Civ,"Steinkeller,Piotr",0,5,0,0,0,0,0,5
110013,AKKAD 157,Introduction to Old Assyrian,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,5,0,0,0,0,0,5
114320,AKKAD AA,Introductory Akkadian I,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,5,0,2,0,0,0,8
205845,AMHARIC 101AR,Advanced Amharic,001,African & African Amer Studies,"Mugane,John M",3,0,0,1,0,0,0,4
126300,AMHARIC AA,Elementary Amharic,001,African & African Amer Studies,"Mugane,John M",6,0,0,0,0,0,0,6
205853,AMHARIC BA,Intermediate Amharic,001,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2
113328,AMSTDIES 200,Major Wrks in American Studies,01,American Studies,"Deloria,Philip",0,15,0,1,0,0,0,16
205186,AMSTDIES 314A,Colloquium on Pedagogy,001,American Studies,"Brown,Vincent",0,4,0,0,0,0,0,4
110946,AMSTDIES 398,Reading and Research,002,American Studies,"Bernstein,Robin",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,003,American Studies,"Brown,Vincent",0,0,0,0,0,0,0,0
110946,AMSTDIES 398,Reading and Research,009,American Studies,"Chaplin,Joyce E.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,026,American Studies,"Reuben,Julie A.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,027,American Studies,"Rivera,Mayra",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,038,American Studies,"Terry,Brandon Michael",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,039,American Studies,"Deloria,Philip",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,001,American Studies,"Beckert,Sven",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,002,American Studies,"Bernstein,Robin",0,3,0,0,0,0,0,3
124363,AMSTDIES 399,Doctoral Dissertatn Direction,005,American Studies,"Claybaugh,Amanda",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,007,American Studies,"Higginbotham,Evelyn Brooks",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,009,American Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,012,American Studies,"Roberts,Jennifer L.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,014,American Studies,"Stauffer,John",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,016,American Studies,"Rivera,Mayra",0,3,0,0,0,0,0,3
124363,AMSTDIES 399,Doctoral Dissertatn Direction,018,American Studies,"Deloria,Philip",0,2,0,0,0,0,0,2
110014,ANE 103,Ancient Lives,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",57,0,0,1,0,0,0,58
207757,ANE 209,Biographies in the Hebrew Bibl,001,Near Eastern Languages & Civ,"Zakovitch,Yair",1,0,0,0,0,0,0,1
112378,ANTHRO 1010,Arch. Methods & Reasoning,001,Anthropology,"Liebmann,Matt",87,1,0,1,1,0,0,90
113901,ANTHRO 1095,Urban Revolutions,001,Anthropology,"Ur,Jason Alik",5,2,0,0,0,0,0,7
121141,ANTHRO 1130,Archaeology of Harvard Yard,001,Anthropology,"Capone,Patricia",20,0,0,0,0,0,0,20
127050,ANTHRO 1250,The Pyramids of Giza,001,Anthropology,"Manuelian,Peter Der",8,1,0,1,0,0,0,10
207708,ANTHRO 1604,The Anthropology of Law,001,Anthropology,"Niezen,Ronald",8,1,2,1,0,0,0,12
119379,ANTHRO 1610,Ethnographic Research Methods,001,Anthropology,"Williams,Kaya Naomi",24,0,0,0,0,0,0,24
203842,ANTHRO 1661,(Mis)Understanding Islam Today,001,Anthropology,"Malik,Bilal",8,0,0,0,0,0,0,8
208329,ANTHRO 1669,"Black Muslims: Race, Religion,",001,Anthropology,"Carter,Youssef J.",3,0,1,0,0,0,0,4
205306,ANTHRO 1683,The City Jail: Race and,001,Anthropology,"Williams,Kaya Naomi",83,2,0,1,0,0,0,86
207678,ANTHRO 1800,Race and Caste,001,Anthropology,"Subramanian,Ajantha",13,3,0,1,0,0,0,17
204442,ANTHRO 1957,Laboratory Lives: Scientific,001,Anthropology,"Scott,Stephen Kingsley",5,1,0,1,0,0,0,7
156380,ANTHRO 1988,"Kinship,Citizenship,Belonging",001,Anthropology,"Meiu,George Paul",12,6,0,0,0,0,0,18
113280,ANTHRO 2000,Osteoarchaeology Lab,001,Anthropology,"Meadow,Richard H.",5,5,1,1,0,0,0,12
120535,ANTHRO 2010AR,Materials in Ancient Societies,001,Anthropology,"Meadow,Richard H.",0,1,0,1,0,0,0,2
144159,ANTHRO 2110R,Issues in Mesoamerican,001,Anthropology,"Fash,William",1,2,0,0,0,0,0,3
128017,ANTHRO 2177,Jaguar-Men and Golden Cities,001,Anthropology,"Urton,Gary",5,7,0,0,0,0,0,12
125614,ANTHRO 2250A,Proseminar in Archaeology,001,Anthropology,"Caramanica,Ari Anne",0,10,0,0,0,0,0,10
205303,ANTHRO 2646,Infrastructure and its,001,Anthropology,"Scott,Stephen Kingsley",2,7,0,3,0,0,1,13
110977,ANTHRO 2650A,Hist and Theory of Social Anth,001,Anthropology,"Herzfeld,Michael",0,10,0,0,0,0,0,10
108976,ANTHRO 2722,Sonic Ethnography,001,Anthropology,"Karel,Ernst",0,5,0,2,0,0,0,7
110009,ANTHRO 2727,Anthropology of Media,001,Anthropology,"Kusumaryati,Veronika",2,6,1,7,0,0,1,17
207648,ANTHRO 2744,Madness and Globalization,001,Anthropology,"Good,Byron",4,1,0,3,0,0,1,9
160345,ANTHRO 2800,Social Theory In/Out of Africa,001,Anthropology,"Comaroff,Jean",0,8,0,0,0,0,0,8
113022,ANTHRO 3000,Reading Course,003,Anthropology,"Carrasco,Davíd L.",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,016,Anthropology,"Kleinman,Arthur",0,2,0,0,0,0,0,2
116603,ANTHRO 3001,Reading for General Examinatio,007,Anthropology,"Comaroff,John",0,2,0,0,0,0,0,2
116603,ANTHRO 3001,Reading for General Examinatio,017,Anthropology,"Liebmann,Matt",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,020,Anthropology,"Meiu,George Paul",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,025,Anthropology,"Ur,Jason Alik",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,027,Anthropology,"Williams,Kaya Naomi",0,1,0,0,0,0,0,1
110152,ANTHRO 3200,Dissertation Writing Workshop,001,Anthropology,"Herzfeld,Michael",0,6,0,0,0,0,0,6
119079,ANTHRO 3400,Reading and Research,001,Anthropology,,0,15,0,0,0,0,0,15
210892,ANTHRO 3410,Teaching Fellows,001,Anthropology,,0,22,0,0,0,0,0,22
111058,ANTHRO 3500,Direction of Doctoral,002,Anthropology,"Bestor,Theodore C",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,004,Anthropology,"Castaing-Taylor,Lucien",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,006,Anthropology,"Comaroff,Jean",0,2,0,0,0,0,0,2
111058,ANTHRO 3500,Direction of Doctoral,010,Anthropology,"Flad,Rowan K.",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,013,Anthropology,"Harkness,Nicholas H.",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,014,Anthropology,"Herzfeld,Michael",0,2,0,0,0,0,0,2
111058,ANTHRO 3500,Direction of Doctoral,016,Anthropology,"Kleinman,Arthur",0,2,0,0,0,0,0,2
111058,ANTHRO 3500,Direction of Doctoral,017,Anthropology,"Liebmann,Matt",0,2,0,0,0,0,0,2
111058,ANTHRO 3500,Direction of Doctoral,019,Anthropology,"Meadow,Richard H.",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,023,Anthropology,"Subramanian,Ajantha",0,5,0,0,0,0,0,5
111058,ANTHRO 3500,Direction of Doctoral,026,Anthropology,"Urton,Gary",0,1,0,0,0,0,0,1
207768,ANTHRO 3555,Advanced Critical Media Practi,001,Anthropology,"Castaing-Taylor,Lucien",1,2,0,2,0,0,0,5
116522,ANTHRO 3626,Research Design/Proposal Writi,001,Anthropology,"Bernstein,Anya",0,8,0,0,0,0,0,8
123451,ANTHRO 91XR,Supervised Reading & Research,001,Anthropology,"Flad,Rowan K.",3,0,0,0,0,0,0,3
123453,ANTHRO 91ZR,Supervised Reading & Research,001,Anthropology,"Kao,Philip",6,0,0,0,0,0,0,6
