"","ReasonA","ReasonB","Choice","Respondent"
"1","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Reason B is better","10207593"
"2","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","10207593"
"3","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","10207593"
"4","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Reason B is better","10207593"
"5","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","I am not sure","10207593"
"6","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason A is better","10902318"
"7","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Reason A is better","10902318"
"8","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Reason A is better","10902318"
"9","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason B is better","10902318"
"10","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Reason A is better","10902318"
"11","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason B is better","12541837"
"12","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","I am not sure","12541837"
"13","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason B is better","12541837"
"14","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","12541837"
"15","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason B is better","12541837"
"16","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason A is better","20831669"
"17","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","20831669"
"18","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason B is better","20831669"
"19","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","20831669"
"20","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason A is better","20831669"
"21","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","22180488"
"22","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","22180488"
"23","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason B is better","22180488"
"24","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason B is better","22180488"
"25","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason B is better","22180488"
"26","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason B is better","22180488"
"27","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason B is better","22180488"
"28","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","22405892"
"29","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason A is better","22405892"
