"","module_clear_structure","module_intellectually_stimulating","module_requirements_clear","tutor_explains_well","tutor_inspires_interest","tutor_comfortable","tutor_respect","Choice","Respondent"
"1",0.2,0.4,1.5,0.2,2.7,0.1,-0.1,"Module A","10207593"
"2",-0.1,0.1,-1.6,0.9,-0.1,-1,0,"Module B","10902318"
"3",0.8,0.5,1.1,1.1,-0.3,-0.3,-0.1,"Module B","10902318"
"4",0.2,-0.4,-0.3,-0.8,0.4,0.4,0.1,"Module B","10902318"
"5",1.1,-0.6,1.6,-0.9,0.8,-0.2,0.2,"Module B","10902318"
"6",1.2,0.6,0.1,-1.1,-2.3,-0.8,0,"Module B","10902318"
"7",0.5,1.2,0.3,0.6,1.5,0.1,-1.1,"Module A","12541837"
"8",0.9,0.1,-0.3,-0.6,-0.6,0.2,-0.2,"I am not sure","12541837"
"9",1,0,1.2,-0.9,0.8,0.5,-2.3,"Module A","12541837"
"10",0.2,-0.8,-0.9,1,0.2,0.6,0.8,"Module A","12541837"
"11",0.7,-0.1,2.7,-0.3,-1.3,-0.4,0.1,"Module A","12541837"
"12",0,-1,-0.4,0.1,-1.1,0.1,0,"Module B","20831669"
"13",0.6,-0.5,0.2,1.6,-0.7,-1.7,0,"Module B","20831669"
"14",-0.7,0.2,-0.1,0.1,0.9,-0.1,0,"I am not sure","20831669"
"15",-0.2,0.3,0.8,1.1,1.1,-1,0.1,"Module A","20831669"
"16",0.6,0.4,1.1,-0.1,-0.3,0,0,"Module A","20831669"
"17",0.5,1.4,1.1,-0.1,1.2,0.7,0.7,"Module A","20831669"
"18",0.5,-0.9,-0.6,-0.6,-2.2,-0.7,0,"Module B","25738271"
"19",0,-1.2,1.8,0.5,-3.3,0.1,-0.5,"Module B","25738271"
"20",1.1,-0.4,-1.9,-0.2,-0.2,-0.4,0.1,"Module B","25738271"
"21",0.5,-0.1,0.3,-0.5,-0.1,0.2,0,"Module A","25738271"
"22",0.1,0.2,-0.9,-0.1,0.8,-0.9,0.8,"Module B","25738271"
"23",-0.2,-0.3,-0.1,0.3,0.7,0.4,0,"Module A","26020516"
"24",-2,1.5,-0.8,-0.6,2.2,0.3,-0.2,"Module A","26020516"
"25",0,-0.9,-1.1,0,-0.7,0.5,0.1,"Module A","26020516"
"26",1.1,0.4,0.3,-0.2,0.7,0.2,-1.6,"Module A","26020516"
"27",-0.3,0,0.3,1,1,0,0,"Module A","26020516"
"28",-1.4,-2,1.8,-0.5,-0.9,0,0.1,"Module A","26020516"
"29",1.9,-1.4,-0.3,-1,0,0.5,0.5,"Module A","26020516"
"30",-0.9,-0.2,-0.6,0.2,0.2,-0.2,0.5,"Module B","26230925"
"31",-0.7,-0.5,0.5,-1,-0.9,0,0.3,"Module B","26230925"
"32",-0.7,-0.4,-0.1,0.2,-2.4,0,0.1,"Module B","26230925"
"33",0.9,0.1,0.3,-0.3,1.1,0.3,-0.4,"Module B","26230925"
"34",0.3,1,-1.3,0.7,-0.3,1.4,0,"Module B","26230925"
"35",-0.7,-0.6,-1.4,2.3,-0.2,0,0.1,"Module B","26230925"
"36",-1.9,-0.2,0,-1.3,0.1,0.1,-0.2,"I am not sure","26230925"
"37",0.9,-0.1,-0.2,-0.1,0.4,0,-1.7,"Module B","27391346"
"38",0,-0.5,1,0.5,1.4,-0.5,0,"Module A","27391346"
"39",-0.5,0.8,0.4,0,-1.6,0.7,0,"Module B","27391346"
"40",-0.1,-0.5,-0.6,-0.3,-0.5,0.2,0.3,"Module B","27391346"
"41",-0.1,-0.1,1.3,-0.1,0.2,0.3,0.7,"Module A","27391346"
"42",-1.1,1,-0.8,2,-1.8,-0.4,0,"Module A","29322411"
"43",-0.5,0.7,-1,1,-1.4,0.2,0.3,"I am not sure","29322411"
"44",0,-0.6,0.1,-1.1,-0.1,0.2,-0.7,"Module B","29322411"
"45",-0.3,1.2,0,-0.7,-0.1,2,0.2,"Module A","29322411"
"46",-0.9,-0.4,1.2,-1.1,0.5,0.1,0.1,"Module B","29322411"
"47",-0.5,1.1,-0.1,-0.1,-0.9,1.4,0,"Module A","30467965"
"48",-0.3,0,1.2,0.5,0.6,1,0,"Module A","30467965"
"49",-0.3,-0.6,0,-2.4,0.4,1.1,-0.1,"Module B","30467965"
