"","date","voteno","Bill"
"1","2019-10-23",8,"Deferred Divisions - Exiting the European Union (Financial Services)"
"2","2019-10-23",7,"Deferred Divisions - Exiting the European Union (Auditors)"
"3","2019-10-23",6,"Deferred Divisions - Exiting the European Union"
"4","2019-10-15",1,"Delegated Legislation - Exiting the European Union (Air Quality)"
"5","2019-06-12",420,"Leaving the Eu: Business of the House"
"6","2019-05-15",416,"Delegated Legislation - Exiting the European Union (Sanctions)"
"7","2019-04-09",413,"Exiting the European Union (Sanctions) - Section 1 of the European Union (Withdrawal) Act 2019"
"8","2019-04-02",401,"Exiting the European Union (Consumer Protection)"
"9","2019-04-01",400,"Eu: Withdrawal and Future Relationship (Votes)"
"10","2019-04-01",399,"Eu: Withdrawal and Future Relationship (Votes)"
"11","2019-04-01",398,"Eu: Withdrawal and Future Relationship (Votes)"
"12","2019-04-01",397,"Eu: Withdrawal and Future Relationship (Votes)"
"13","2019-03-29",395,"United Kingdom&#8217;S Withdrawal from the European Union"
"14","2019-03-27",394,"Eu Exit Day Amendment"
"15","2019-03-27",393,"Eu: Withdrawal and Future Relationship Votes - Motion (O) - Contingent preferential arrangements"
"16","2019-03-27",392,"Eu: Withdrawal and Future Relationship Votes - Motion (M) - Confirmatory public vote"
"17","2019-03-27",391,"Eu: Withdrawal and Future Relationship Votes - Motion (L) - Revocation to avoid no deal"
"18","2019-03-27",390,"Eu: Withdrawal and Future Relationship Votes - Motion (K) - Labour&#8217;s alternative plan"
"19","2019-03-27",389,"Eu: Withdrawal and Future Relationship Votes - Motion (J) - Customs Union"
"20","2019-03-27",388,"Eu: Withdrawal and Future Relationship Votes - Motion (H) - EFTA and EEA"
"21","2019-03-27",387,"Eu: Withdrawal and Future Relationship Votes - Motion (D) - Common Market 2.0"
"22","2019-03-27",386,"Eu: Withdrawal and Future Relationship Votes - Motion (B) - No Deal"
"23","2019-03-27",384,"Deferred Divisions - Exiting the European Union (Agriculture)"
"24","2019-03-27",383,"Deferred Divisions - Exiting the European Union (Agriculture)"
