"","voteno8","voteno7","voteno6","voteno1","voteno420","voteno416","voteno413","voteno401","voteno400","voteno399","voteno398","voteno397","voteno395","voteno394","voteno393","voteno392","voteno391","voteno390","voteno389","voteno388","voteno387","voteno386","voteno384","voteno383","voteno382","voteno380","voteno379","voteno370","voteno369","voteno367","voteno366","voteno364","voteno363","voteno362","voteno361","voteno360","voteno359","voteno358","voteno357","voteno356","voteno355","voteno353","voteno352","voteno351","voteno350","voteno349","voteno348","voteno347","voteno346","voteno345","voteno344","voteno343","voteno342","voteno341","voteno340","voteno339","voteno337","voteno336","voteno335","voteno334","voteno329","voteno323","voteno316","voteno315","voteno314","voteno305","voteno303","voteno301","voteno300","voteno299","voteno288","voteno287","voteno286","voteno284","voteno283","voteno276","voteno263","voteno262","voteno238","voteno237","voteno236","voteno235","voteno231","voteno224","voteno223","voteno222","voteno221","voteno220","voteno219","voteno218","voteno217","voteno216","voteno205","voteno158","voteno90","voteno89","voteno7"
"mpid41371",2,2,2,1,3,1,3,2,3,3,2,3,1,3,1,3,2,3,3,1,2,1,1,1,2,1,1,2,2,1,2,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41372",1,1,1,1,3,1,3,2,3,3,3,3,1,3,1,3,3,3,3,1,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,2,3,2,1,1,3,3,3,2,3,3,2,3,2,3,2,2,3
"mpid41373",1,1,1,1,2,2,3,2,2,3,2,3,1,3,1,3,2,3,3,2,2,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,2,2,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41374",1,1,1,1,3,1,3,2,2,3,3,3,1,3,1,3,2,3,3,2,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41375",3,3,3,3,1,3,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41376",1,1,1,1,3,1,3,2,2,3,3,3,1,3,1,3,2,3,3,1,3,1,1,1,2,1,1,2,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,3,3,3,2,1,1,3,3,3,2,3,3,2,3,2,3,1,3,3
"mpid41377",1,1,1,1,3,1,3,2,3,3,2,3,1,3,1,3,3,3,3,1,2,1,1,1,2,1,1,2,2,1,2,3,3,3,3,2,3,1,3,1,1,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,2,3,3,2,1,1,3,3,3,2,3,3,2,3,2,2,1,3,3
"mpid41378",3,3,3,3,1,3,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,2,3,1,1
"mpid41379",3,3,3,3,1,3,2,3,1,1,1,1,3,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
"mpid41380",3,3,3,3,1,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,3,1,3,3,2,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,1,2,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1
