"","mpid","firstname","surname","party","PublicWhip.URL"
"1",41371,"Bridget","Phillipson","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41371"
"2",41372,"Chi","Onwurah","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41372"
"3",41373,"Julie","Elliott","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41373"
"4",41374,"Nick","Brown","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41374"
"5",41375,"Justin","Tomlinson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41375"
"6",41376,"Sharon","Hodgson","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41376"
"7",41377,"Catherine","McKinnell","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41377"
"8",41378,"Philip","Hollobone","Con","https://www.publicwhip.org.uk/mp.php?mpid=41378"
"9",41379,"Marcus","Jones","Con","https://www.publicwhip.org.uk/mp.php?mpid=41379"
"10",41380,"Charles","Walker","Con","https://www.publicwhip.org.uk/mp.php?mpid=41380"
"11",41381,"John","Baron","Con","https://www.publicwhip.org.uk/mp.php?mpid=41381"
"12",41382,"Sue","Hayman","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41382"
"13",41383,"Andy","McDonald","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41383"
"14",41384,"Jenny","Chapman","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41384"
"15",41385,"Emma","Lewell-Buck","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41385"
"16",41386,"Stephen","Metcalfe","Con","https://www.publicwhip.org.uk/mp.php?mpid=41386"
"17",41387,"Stephen","Hepburn","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41387"
"18",41388,"Derek","Twigg","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41388"
"19",41389,"Andrew","Jones","Con","https://www.publicwhip.org.uk/mp.php?mpid=41389"
"20",41390,"Jo","Platt","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41390"
"21",41391,"Nia","Griffith","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41391"
"22",41392,"Sylvia","Hermon","Independent","https://www.publicwhip.org.uk/mp.php?mpid=41392"
"23",41393,"Ged","Killen","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41393"
"24",41394,"Robert","Buckland","Con","https://www.publicwhip.org.uk/mp.php?mpid=41394"
"25",41395,"Alex","Cunningham","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41395"
"26",41396,"Ian","Lucas","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41396"
"27",41397,"Frank","Field","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41397"
"28",41398,"John","Stevenson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41398"
"29",41399,"Yvonne","Fovargue","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41399"
"30",41400,"Rosena","Allin-Khan","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41400"
