"","trust_country_parliament","trust_legal_system","trust_police","trust_politicians","trust_parties","trust_european_parliament","trust_united_nations"
"Austria",5.42625548034645,6.63789882343346,7.3760775980114,4.24919615265095,4.14837394348421,4.4375032575682,4.866561022232
"Belgium",4.79832296099295,5.34236387456876,6.5422167809584,4.26332643261555,4.26533095091471,4.88325206135299,5.27805428947557
"Bulgaria",2.58164008776471,3.07594253803716,3.80712207019196,2.22252479491076,2.26551035454192,3.58506704910672,3.70019391983427
"Switzerland",6.31906614785992,6.74643320363165,7.36251621271076,5.35278858625162,5.23151750972763,4.78080415045395,5.3579766536965
"Cyprus",3.65315740283998,4.39761920033501,5.3215428675207,2.77803759407054,2.69713870626365,4.68871760962738,4.71204823233738
"Czechia",4.25130283851718,5.22215788610999,5.91430225875899,3.64794441308421,3.64311908967453,4.21231422592473,4.88670140973701
"Germany",5.09882260596546,6.11810047095761,7.09940345368917,3.97324960753532,4.00265306122449,4.57874411302983,4.90866562009419
"Estonia",4.85976033099335,5.91904007445593,7.02192594257884,3.89656192283624,3.76364736114911,4.65793104284706,4.94520727986935
"Finland",5.90769230769231,7.14529914529915,8.11566951566952,4.9025641025641,5.03133903133903,5.38404558404558,6.47122507122507
"France",4.18029303923559,5.31153983599318,6.49833217807684,3.56706702882362,3.12872306382797,4.0531746485667,5.02808090333189
"United Kingdom",4.32252491529915,5.82996136095591,6.66152430174297,3.52757631465502,3.59806763882797,3.57332164175513,5.12133752521573
"Hungary",4.63556677124419,5.55145972421539,6.37502447700055,4.04680496206541,3.93227402600795,5.07202782387969,5.60247531638317
"Ireland",4.68391378907062,5.28595284251858,6.25021456256093,3.96696271922173,3.89202009963452,5.00470984173054,5.54408853608259
"Italy",4.27371148338678,5.35502225524825,6.63106208563208,3.0959902354129,2.990068202415,4.38275657563996,4.86884847978714
"Netherlands",5.90960650802444,6.61565251301844,7.01042609170054,5.38375072716255,5.38084202674959,5.28284130496399,5.8720903475115
"Norway",6.74739937557747,7.47342210042778,7.62143897877869,5.27836974704146,5.39723724179481,5.36680937883677,6.90556191410126
"Poland",3.86121730217515,4.3455779069912,5.73718031233965,3.17924512235134,3.23635486029715,4.66716291136228,5.4492222407174
"Serbia",3.90558450447908,3.91640968354659,5.0233808727833,2.77334854049164,2.59240831361917,3.30446685584471,3.66606663559867
"Slovenia",3.62139605462822,3.94992412746586,6.14112291350531,2.70030349013657,2.74734446130501,3.8937784522003,4.4855842185129
