"","trust_country_parliament","trust_legal_system","trust_police","trust_politicians","trust_parties","trust_european_parliament","trust_united_nations","country","gender","age","degree","weight"
"1",5,10,10,5,5,5,5,"Austria","Male",43,FALSE,0.175567783200982
"2",5,7,8,3,3,2,2,"Austria","Female",85,FALSE,0.124103960779044
"3",5,7,7,5,5,5,5,"Austria","Male",31,FALSE,0.315653950341655
"4",2,3,4,2,2,2,2,"Austria","Female",49,FALSE,0.289815261767765
"5",7,8,8,3,4,5,2,"Austria","Male",67,FALSE,0.321054448375071
"6",0,5,8,3,3,0,2,"Austria","Male",63,FALSE,0.30009742017852
"7",7,8,8,7,7,5,5,"Austria","Female",71,FALSE,0.113995226004713
"8",6,5,7,5,5,4,6,"Austria","Male",64,FALSE,0.446899811784317
"9",0,5,5,0,0,3,0,"Austria","Male",56,FALSE,0.299601514573541
"10",5,7,7,3,3,1,5,"Austria","Female",74,FALSE,0.0936057660728197
"11",5,10,10,5,5,7,7,"Austria","Female",28,FALSE,0.325998216390799
"12",6,10,10,10,10,10,10,"Austria","Male",48,FALSE,0.128738623856023
"13",7,8,6,5,5,9,8,"Austria","Female",59,FALSE,0.299601514573541
"14",6,3,8,3,0,0,8,"Austria","Male",77,FALSE,0.334153973063495
"15",8,9,9,7,8,8,8,"Austria","Female",87,FALSE,0.154219476882583
"16",8,7,5,6,6,5,6,"Austria","Male",79,FALSE,0.313373357860028
"17",9,9,10,8,8,9,8,"Austria","Male",62,FALSE,0.142514671351878
"18",3,7,7,3,2,7,7,"Austria","Male",27,FALSE,0.173117702014426
"19",7,7,6,6,8,4,4,"Austria","Male",59,FALSE,0.280817289849452
"20",3,4,8,3,3,2,3,"Austria","Female",60,FALSE,0.396609823727923
"21",3,9,10,4,4,6,8,"Austria","Male",49,FALSE,0.0936057660728196
"22",7,9,9,1,1,7,6,"Austria","Male",42,TRUE,0.1667876741371
"23",8,8,10,8,8,7,7,"Austria","Male",59,FALSE,0.1667876741371
"24",6,7,8,5,5,5,2,"Austria","Female",69,FALSE,0.325998216390799
"25",4,10,10,1,4,4,7,"Austria","Male",30,FALSE,0.308438953765165
"26",7,6,7,4,4,3,5,"Austria","Male",50,FALSE,0.183105261746028
"27",8,6,9,6,3,5,10,"Austria","Female",43,FALSE,0.141404760078769
"28",5,5,5,5,5,5,5,"Austria","Female",30,FALSE,0.348287405655678
"29",4,5,5,3,2,2,2,"Austria","Female",70,TRUE,0.165452598787279
"30",5,8,9,5,5,5,5,"Austria","Male",70,FALSE,0.25796837580638
"31",7,7,8,1,2,0,0,"Austria","Male",46,FALSE,0.166345413151652
"32",5,4,4,3,4,2,3,"Austria","Male",35,TRUE,0.55794538608857
"33",1,0,0,0,0,0,0,"Austria","Male",36,FALSE,0.334153973063495
"34",8,10,10,7,7,7,7,"Austria","Male",67,FALSE,0.280241130434639
"35",5,7,8,0,0,5,7,"Austria","Female",23,FALSE,0.312996698920755
"36",4,6,8,4,4,2,5,"Austria","Female",68,FALSE,0.144480521432195
"37",7,1,3,7,7,1,1,"Austria","Male",72,FALSE,0.248207921558089
"38",6,7,8,5,4,5,6,"Austria","Male",58,FALSE,0.364585214370534
"39",7,7,7,5,5,5,5,"Austria","Male",73,TRUE,0.429116006158356
"40",4,6,7,5,5,3,3,"Austria","Female",62,FALSE,0.179313552705218
"41",1,5,8,1,1,0,0,"Austria","Male",50,FALSE,0.337367736224418
"42",5,7,8,5,5,5,7,"Austria","Female",73,FALSE,0.264681733765116
