"district","school","county","grades","students","teachers","computer","expenditure","income","english"
"75119","Sunol Glen Unified","Alameda","KK-08",195,10.8999996185303,67,6384.9111328125,22.6900005340576,0
"61499","Manzanita Elementary","Butte","KK-08",240,11.1499996185303,101,5099.380859375,9.82400035858154,4.58333349227905
"61549","Thermalito Union Elementary","Butte","KK-08",1550,82.9000015258789,169,5501.95458984375,8.97799968719482,30.0000019073486
"61457","Golden Feather Union Elementary","Butte","KK-08",243,14,85,7101.8310546875,8.97799968719482,0
"61523","Palermo Union Elementary","Butte","KK-08",1335,71.5,171,5235.98779296875,9.08033275604248,13.8576774597168
"62042","Burrel Union Elementary","Fresno","KK-08",137,6.40000009536743,25,5580.14697265625,10.414999961853,12.4087591171265
"68536","Holt Union Elementary","San Joaquin","KK-08",195,10,28,5253.3310546875,6.5770001411438,68.7179489135742
"63834","Vineland Elementary","Kern","KK-08",888,42.5,66,4565.74609375,8.17399978637695,46.9594612121582
"62331","Orange Center Elementary","Fresno","KK-08",379,19,35,5355.54833984375,7.38500022888184,30.0791568756104
"67306","Del Paso Heights Elementary","Sacramento","KK-06",2247,108,0,5036.21142578125,11.6133327484131,40.2759208679199
"65722","Le Grand Union Elementary","Merced","KK-08",446,21,86,4547.6923828125,8.93099975585938,52.9147987365723
"62174","West Fresno Elementary","Fresno","KK-08",987,47,56,5447.34521484375,7.38500022888184,54.6099319458008
"71795","Allensworth Elementary","Tulare","KK-08",103,5,25,6567.1494140625,5.33500003814697,42.7184448242188
"72181","Sunnyside Union Elementary","Tulare","KK-08",487,24.3400001525879,0,4818.61279296875,8.2790002822876,20.5338802337646
"72298","Woodville Elementary","Tulare","KK-08",649,36,31,5621.4560546875,9.63000011444092,80.1232604980469
"72041","Pixley Union Elementary","Tulare","KK-08",852,42.0699996948242,80,6026.35986328125,7.4539999961853,49.413143157959
"63594","Lost Hills Union Elementary","Kern","KK-08",491,28.9200000762939,100,6723.23779296875,6.21600008010864,85.5397186279297
"63370","Buttonwillow Union Elementary","Kern","KK-08",421,25.5,50,5589.88525390625,7.76399993896484,58.9073638916016
"64709","Lennox Elementary","Los Angeles","KK-08",6880,303.029998779297,960,5064.61572265625,7.02199983596802,77.0058135986328
"63560","Lamont Elementary","Kern","KK-08",2688,135,139,5433.59326171875,5.69899988174438,49.8139877319336
"63230","Westmorland Union Elementary","Imperial","KK-08",440,24,69,5725.5634765625,7.94099998474121,40.6818199157715
"72058","Pleasant View Elementary","Tulare","KK-08",475,21,53,4542.10498046875,9.63000011444092,16.2105255126953
"63842","Wasco Union Elementary","Kern","KK-08",2538,130.5,169,5107.08642578125,7.40500020980835,45.0748634338379
"71811","Alta Vista Elementary","Tulare","KK-08",476,19,0,4659.66162109375,9.63000011444092,39.0756301879883
"65748","Livingston Union Elementary","Merced","KK-08",2357,114,216,4555.46435546875,8.01900005340576,76.6652526855469
"72272","Woodlake Union Elementary","Tulare","KK-08",1588,85,198,5415.15283203125,8.52299976348877,40.4911842346191
"65961","Alisal Union Elementary","Monterey","KK-06",7306,319.799987792969,742,4997.87158203125,7.98318147659302,73.7202301025391
"63313","Arvin Union Elementary","Kern","KK-08",2601,135,269,5223.912109375,7.30499982833862,70.0115356445312
"72199","Terra Bella Union Elementary","Tulare","KK-08",847,44,67,5139.16455078125,8.93400001525879,55.962215423584
"72215","Tipton Elementary","Tulare","KK-08",452,22,55,4614.251953125,8.55399990081787,11.0619468688965
"68379","San Ysidro Elementary","San Diego","KK-08",4142,201,569,5342.2333984375,6.61299991607666,80.4200897216797
"75440","Soledad Unified","Monterey","KK-08",2102,99.75,224,5347.45849609375,12.4090003967285,63.1303558349609
"64816","Mountain View Elementary","Los Angeles","KK-08",10012,464.899993896484,721,5036.458984375,8.12661552429199,65.1218566894531
"66050","King City Union Elementary","Monterey","KK-08",2488,125,202,5117.1416015625,11.4309997558594,53.4164009094238
"67819","Ontario-Montclair Elementary","San Bernardino","KK-08",25151,1186.69995117188,1713,5117.03955078125,11.722225189209,49.823070526123
