"county","school","read","math"
"Alameda","Sunol Glen Unified",691.599975585938,690
"Butte","Manzanita Elementary",660.5,661.900024414062
"Butte","Thermalito Union Elementary",636.299987792969,650.900024414062
"Butte","Golden Feather Union Elementary",651.900024414062,643.5
"Butte","Palermo Union Elementary",641.799987792969,639.900024414062
"Fresno","Burrel Union Elementary",605.700012207031,605.400024414062
"San Joaquin","Holt Union Elementary",604.5,609
"Kern","Vineland Elementary",605.5,612.5
"Fresno","Orange Center Elementary",608.900024414062,616.099975585938
"Sacramento","Del Paso Heights Elementary",611.900024414062,613.400024414062
"Merced","Le Grand Union Elementary",612.799987792969,618.700012207031
"Fresno","West Fresno Elementary",616.599975585938,616
"Tulare","Allensworth Elementary",612.799987792969,619.799987792969
"Tulare","Sunnyside Union Elementary",610,622.599975585938
"Tulare","Woodville Elementary",611.900024414062,621
"Tulare","Pixley Union Elementary",614.799987792969,619.900024414062
"Kern","Lost Hills Union Elementary",611.700012207031,624.400024414062
"Kern","Buttonwillow Union Elementary",614.900024414062,621.700012207031
"Los Angeles","Lennox Elementary",619.099975585938,620.5
"Kern","Lamont Elementary",621.299987792969,619.299987792969
"Imperial","Westmorland Union Elementary",615.599975585938,625.400024414062
"Tulare","Pleasant View Elementary",619.900024414062,622.900024414062
"Kern","Wasco Union Elementary",622.900024414062,620.599975585938
"Tulare","Alta Vista Elementary",620.700012207031,623.400024414062
"Merced","Livingston Union Elementary",619.5,625.700012207031
"Tulare","Woodlake Union Elementary",625,621.200012207031
"Monterey","Alisal Union Elementary",620.400024414062,626
"Kern","Arvin Union Elementary",616.5,630.400024414062
"Tulare","Terra Bella Union Elementary",620.099975585938,627.099975585938
"Tulare","Tipton Elementary",627.900024414062,620.400024414062
"San Diego","San Ysidro Elementary",620.400024414062,628.700012207031
"Monterey","Soledad Unified",623,626.900024414062
"Los Angeles","Mountain View Elementary",620.799987792969,629.799987792969
"Monterey","King City Union Elementary",626.099975585938,625.599975585938
"San Bernardino","Ontario-Montclair Elementary",625.400024414062,626.799987792969
"Los Angeles","Los Nietos Elementary",625.400024414062,628.200012207031
"Merced","Winton Elementary",623.599975585938,630.200012207031
"Fresno","Raisin City Elementary",628.900024414062,625.299987792969
"San Mateo","Ravenswood City Elementary",624.400024414062,630.099975585938
"Kern","Richland-Lerdo Union Elementary",627.5,627.099975585938
"Ventura","Oxnard Elementary",627.799987792969,628.700012207031
"Merced","El Nido Elementary",621.599975585938,635.200012207031
"Kern","Fairfax Elementary",629.400024414062,627.700012207031
"Kern","Delano Union Elementary",621.099975585938,636.200012207031
"Riverside","Perris Elementary",626.5,631
"Los Angeles","Valle Lindo Elementary",630.200012207031,629.400024414062
"Santa Clara","Alum Rock Union Elementary",629.5,631.200012207031
"Kern","Edison Elementary",631.900024414062,628.900024414062
"Kern","Bakersfield City Elementary",631.599975585938,629.5
"Santa Clara","Franklin-McKinley Elementary",628.5,632.599975585938
"Los Angeles","Hawthorne Elementary",628.400024414062,633.700012207031
"Madera","Chowchilla Elementary",635.700012207031,627.099975585938
"Monterey","Salinas City Elementary",633,630.700012207031
"Santa Barbara","Santa Maria-Bonita Elementary",629.599975585938,634.200012207031
"Los Angeles","Whittier City Elementary",634.200012207031,629.700012207031
"Los Angeles","Eastside Union Elementary",633.5,630.5
"Los Angeles","Lawndale Elementary",631.400024414062,633
"Sacramento","Robla Elementary",637.5,627
"Monterey","Santa Rita Union Elementary",637.299987792969,627.599975585938
"Ventura","Rio Elementary",633.200012207031,632.5
"Tulare","Strathmore Union Elementary",629.200012207031,636.700012207031
"Sacramento","North Sacramento Elementary",630.299987792969,635.799987792969
"Orange","Anaheim Elementary",629.599975585938,636.700012207031
"Kings","Lemoore Union Elementary",634.400024414062,632.900024414062
"Kings","Armona Union Elementary",634.700012207031,633.099975585938
"Kern","Beardsley Elementary",638.400024414062,629.599975585938
"Los Angeles","South Whittier Elementary",631.900024414062,636.200012207031
"Kings","Hanford Elementary",637.700012207031,630.5
"San Diego","National Elementary",631.5,636.700012207031
"Sonoma","Roseland Elementary",636.799987792969,631.5
"Kern","Di Giorgio Elementary",631.799987792969,636.599975585938
"Los Angeles","Keppel Union Elementary",637.700012207031,631.099975585938
"Kings","Lakeside Union Elementary",635.5,633.599975585938
"Merced","Merced City Elementary",633.200012207031,636.200012207031
"Santa Barbara","Guadalupe Union Elementary",631.099975585938,638.700012207031
"San Bernardino","Cucamonga Elementary",637.799987792969,632.099975585938
"Contra Costa","Knightsen Elementary",636.599975585938,633.5
"Humboldt","Rio Dell Elementary",644.299987792969,626.099975585938
"Siskiyou","Montague Elementary",640.900024414062,630
