"pair","date","year","village","district","vilno","disno","treat","poverty","pop2000","lpop2000","pret","pret.1","diff","groznyy","elevation","lelev","tariq","nn","lnn","reb","garrison","vildays","deaths","deathsd","wounded","woundedd","fail","swept","prop","propd","lprop","history","historyd","lhistory","change","decrease","increase","abandon","iso"
1,"6/1/2000",2000,"Elistanzhi","Vedenskiy",36,15,0,3,1845,7.52023506164551,4,4,-1,0,702,6.55393409729004,0,2.84699988365173,1.04626595973969,1,1,28,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,4
1,"6/1/2000",2000,"Malye Shuani","Nozhai-Yurtovskiy",79,9,1,3,323,5.7776517868042,0,0,1,0,670,6.50727701187134,0,1.48160004615784,0.393122613430023,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,6
2,"6/5/2000",2000,"Belgatoy","Shalinskiy",15,10,1,2,3395,8.13005924224854,1,1,-1,0,809,6.69579887390137,0,4.80000019073486,1.5686160326004,1,0,90,34,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,2,0
2,"6/5/2000",2000,"Oktya'brskoe","Vedenskiy",98,15,0,3,2724,7.90985679626465,0,0,0,0,667,6.50278997421265,0,1.48160004615784,0.393122613430023,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,5
3,"6/5/2000",2000,"Chiri-Yurt","Shalinskiy",24,10,0,2,11316,9.3339729309082,4,4,1,0,313,5.74620294570923,0,1.192999958992,0.176471099257469,1,1,25,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,4
3,"6/5/2000",2000,"Gansolchu","Nozhai-Yurtovskiy",40,9,1,3,823,6.71295595169067,0,0,0,0,738,6.60394382476807,0,1.79999995231628,0.587786614894867,1,0,90,0,0,0,0,0,0,2,1,1.09861195087433,0,0,0,0,0,0,0,5
4,"6/5/2000",2000,"Achkoi-Martan","Achkhoi-Martanovskiy",2,1,0,2,20350,9.92083644866943,4,4,4,0,246,5.50533199310303,0,4.67000007629395,1.54115903377533,0,1,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,1
4,"6/5/2000",2000,"Khidi-Khutor","Shalinskiy",65,10,1,2,42,3.73766994476318,3,3,-2,0,490,6.19440603256226,0,0.740800023078918,-0.300024598836899,1,0,11,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,4,9
5,"6/5/2000",2000,"Agishbatoi","Vedenskiy",3,15,0,3,14,2.63905692100525,2,2,-2,0,816,6.70441389083862,0,1.48160004615784,0.393122613430023,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,5
5,"6/5/2000",2000,"Shirdi-Mokhk","Vedenskiy",117,15,1,3,391,5.96870803833008,1,1,-1,0,639,6.45990514755249,0,1.66680002212524,0.510905623435974,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,3,7
6,"6/5/2000",2000,"Marshen-Kali","Vedenskiy",80,15,0,3,500,6.21460819244385,0,0,0,0,1139,7.03790616989136,0,0.740800023078918,-0.300024598836899,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1,7
6,"6/5/2000",2000,"Tazen-Kale","Vedenskiy",127,15,1,3,243,5.49306201934814,0,0,0,0,698,6.54821920394897,0,1.11119997501373,0.105440497398376,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
