"age","gender","education","income"
30,"Male",13,12.01923084
30,"Male",12,9.857142448
30,"Male",12,8.241758347
29,"Female",12,10.09615421
30,"Male",14,24.03846169
30,"Male",16,23.66863823
30,"Male",12,28.84615326
29,"Female",14,13.73626328
29,"Male",16,12.01923084
29,"Male",13,15.38461494
29,"Male",12,8.461538315
29,"Male",13,13.46153831
30,"Female",12,15.625
29,"Female",12,12.98076916
29,"Male",14,13.46153831
29,"Male",13,20.67307663
29,"Male",16,28.84615326
29,"Male",18,28.50961494
30,"Female",18,38.46154022
29,"Male",9,11.53846169
29,"Male",13,24.03846169
30,"Male",12,7.692307472
30,"Female",12,17.30769157
29,"Female",16,27.88461494
29,"Male",13,3.076923132
30,"Female",16,26.44230843
29,"Female",13,9.134614944
30,"Male",10,12.01923084
29,"Male",16,4.807692528
29,"Female",12,15.86538506
30,"Female",16,17.78846169
29,"Male",18,38.46154022
29,"Male",16,10.74113846
30,"Female",12,13.46153831
30,"Male",13,15.74951935
29,"Female",13,12.5
30,"Male",12,28.84615326
30,"Male",12,11
29,"Female",13,11.21794891
30,"Male",16,26.62721825
30,"Female",18,20.67307663
29,"Female",12,4.807692528
30,"Female",13,16.82692337
29,"Male",18,14.42307663
30,"Male",16,24.03846169
29,"Male",16,30.28846169
30,"Male",16,26.44230843
29,"Male",14,14.42307663
30,"Female",16,32.05128098
30,"Male",13,15.76576614
29,"Male",16,21.2550602
30,"Male",16,4.807692528
30,"Male",16,22.22222137
30,"Female",14,13
30,"Female",12,8.012820244
29,"Female",12,12.01923084
30,"Male",12,21.63461494
30,"Male",16,9.615385056
30,"Male",18,22.59615326
29,"Male",12,15.38461494
29,"Male",18,28.84615326
29,"Male",12,14.42307663
30,"Male",18,8.653845787
30,"Female",16,7.211538315
29,"Male",12,30.76922989
30,"Female",16,13.73626328
30,"Male",14,31.73077011
30,"Male",12,9.615385056
30,"Female",16,31.25
30,"Male",16,20.67307663
29,"Female",14,15.86538506
29,"Male",13,9.25
30,"Male",12,14.9572649
30,"Female",18,19.71153831
29,"Male",16,4.807692528
29,"Male",12,26.22377586
29,"Female",13,11.05769253
30,"Female",16,15.86538506
30,"Female",18,17.48251724
29,"Female",14,17.58241844
30,"Male",14,16.15384674
29,"Female",12,21.63461494
30,"Male",13,41.34615326
30,"Female",12,13.22115421
30,"Female",12,14.55301476
29,"Female",16,19.23077011
29,"Female",13,19.23077011
30,"Female",12,10.43956089
30,"Female",10,9.134614944
29,"Female",13,12.01923084
29,"Male",12,15.73426533
29,"Female",12,4.326922894
30,"Female",12,5.769230843
30,"Female",13,13
29,"Female",16,38.90876389
29,"Female",16,17.09401703
29,"Female",18,21.63461494
29,"Female",16,12.01923084
30,"Female",12,14.9572649
30,"Male",13,12.69230747
29,"Male",14,7.211538315
30,"Female",12,8.17307663
30,"Female",10,6.875
29,"Female",13,12.01923084
29,"Female",12,19.23077011
30,"Female",12,15.38461494
30,"Female",16,20.38461494
30,"Male",14,11.53846169
29,"Male",16,13
30,"Female",18,15.93406582
30,"Male",18,14.61538506
30,"Male",13,15.38461494
29,"Male",12,12.01923084
30,"Female",16,11
30,"Male",16,26.44230843
29,"Male",16,9.615385056
29,"Male",16,23.78542519
30,"Female",13,7.884615421
30,"Male",13,14.14027119
29,"Male",12,3.525640965
29,"Male",16,24.57202721
29,"Male",13,19.23077011
30,"Female",16,26.92307663
29,"Female",18,23.07692337
29,"Male",12,29.9145298
30,"Male",12,28.84615326
29,"Male",13,15.38461494
30,"Male",16,21.67832184
29,"Male",12,19.23077011
30,"Male",18,69.00989532
30,"Male",16,14.61538506
30,"Male",18,38.46154022
29,"Female",18,36.05769348
29,"Male",16,26.44230843
30,"Male",16,83.17308044
30,"Male",12,26.92307663
30,"Male",16,73.93162537
30,"Female",16,21.91413307
30,"Male",13,45.67307663
30,"Male",16,21.53846169
30,"Female",16,10.88888931
30,"Female",16,23.07692337
30,"Female",16,31.25
29,"Female",18,18.07692337
30,"Female",13,9.615385056
30,"Male",12,16.34615326
30,"Female",16,4.808653831
30,"Female",12,13.15789509
30,"Female",16,21.63461494
30,"Female",16,13.56275272
29,"Male",16,30.76922989
30,"Female",13,25
30,"Male",13,14.42307663
29,"Male",18,15.38461494
29,"Male",14,28.84615326
29,"Male",13,10.38461494
29,"Male",12,32.96703339
29,"Female",12,19.23077011
29,"Male",12,11.53846169
30,"Male",16,43.26922989
29,"Male",16,26.49572563
30,"Male",14,30.76922989
29,"Male",16,14.42307663
29,"Male",14,9.615385056
29,"Female",12,24.07407379
30,"Male",13,21.63461494
30,"Female",18,14.10256386
29,"Female",18,29.45055008
30,"Female",13,10.57692337
30,"Female",12,5.494505405
30,"Male",13,8.505917549
29,"Female",16,26.44230843
30,"Male",16,28.84615326
29,"Female",14,7.211538315
30,"Male",12,30.44871712
30,"Male",16,8.17307663
29,"Male",13,22.59615326
29,"Male",12,28.84615326
29,"Male",14,14.42307663
30,"Male",12,14.42307663
29,"Male",12,13.94230747
30,"Male",16,58
29,"Male",12,6.971153736
29,"Male",16,14.9572649
29,"Female",12,18.75
29,"Female",12,15.86538506
29,"Male",13,22.30769157
29,"Male",12,29.5
29,"Male",8,9.615385056
30,"Male",16,47.75249863
30,"Male",12,21.53846169
29,"Female",16,12.82051277
30,"Male",12,28.84615326
29,"Male",16,38.46154022
29,"Male",14,12.25
30,"Female",16,36.71328735
29,"Male",16,26.44230843
29,"Female",18,22.30769157
29,"Male",18,28.69822502
29,"Female",16,24.72527504
30,"Male",16,23.4265728
30,"Male",8,16.82692337
30,"Male",11,10.39500999
29,"Female",18,40.59828949
29,"Male",12,4.807692528
30,"Male",12,7.211538315
30,"Male",16,60.76922989
29,"Female",14,19.23077011
29,"Female",16,27.47252655
29,"Female",16,33.65384674
29,"Male",16,29.4871788
29,"Male",13,18.46153831
30,"Male",16,17.09401703
30,"Female",13,20
30,"Female",16,27.88461494
30,"Male",14,12.82051277
29,"Male",12,15.38461494
30,"Male",12,28.84615326
30,"Female",13,13.78205109
30,"Male",18,32.05128098
29,"Female",13,14.42307663
30,"Male",10,9.615385056
29,"Female",16,22.23557663
30,"Male",16,28.84615326
30,"Male",16,14.52991486
29,"Female",16,24.03846169
30,"Female",11,10.57692337
29,"Female",14,12.01923084
29,"Female",14,38.46154022
30,"Female",16,12.01923084
29,"Male",14,31.25
29,"Male",13,19.23077011
29,"Male",13,14.42307663
29,"Male",18,9.615385056
30,"Male",13,6.25
29,"Female",18,34.45055008
29,"Female",13,9.615385056
29,"Male",14,18.37606812
29,"Female",13,24.5
29,"Male",18,27.2435894
29,"Female",13,9.616346359
29,"Female",12,19.71153831
29,"Male",12,16.34615326
29,"Male",13,20.03205109
30,"Female",13,8.791209221
29,"Male",16,47.41674423
29,"Female",16,19.23077011
30,"Male",13,21.36752129
30,"Male",16,38.03418732
30,"Male",12,45.67307663
30,"Male",14,19.23077011
30,"Male",12,11.92307663
29,"Female",14,24.03846169
29,"Female",12,15.18218613
29,"Female",12,15.54828167
29,"Female",12,20
30,"Male",16,31.46853065
30,"Female",12,19.23077011
29,"Male",12,21.63461494
29,"Female",12,14.42307663
30,"Female",14,15.38461494
30,"Female",14,21.2550602
30,"Male",13,19.23173141
29,"Male",16,29.44711494
30,"Male",11,16.82692337
30,"Female",11,4.615384579
29,"Female",12,14.42307663
30,"Female",12,7.085020065
29,"Male",16,40.38461685
30,"Male",13,15.38461494
29,"Female",12,17.71255112
29,"Male",12,5.963461399
29,"Female",16,16.82692337
30,"Female",12,17.09401703
30,"Female",13,36.53845978
29,"Female",16,24.03846169
29,"Female",16,16.82692337
29,"Male",12,13.46153831
30,"Male",8,7.211538315
29,"Male",11,13.46153831
30,"Female",12,5.161538601
29,"Female",14,13.46153831
29,"Female",16,19.23077011
29,"Female",18,25
29,"Male",16,29.9145298
29,"Female",16,29.9145298
29,"Female",13,16.48351669
30,"Female",14,19.23077011
30,"Male",14,28.84615326
30,"Female",12,11.53846169
29,"Female",13,14.03326416
30,"Female",12,9.619711876
29,"Male",12,7.211538315
30,"Male",16,23.50427437
29,"Female",13,14.42307663
29,"Male",13,19.71153831
29,"Female",16,21.63461494
29,"Female",16,54.53450012
30,"Male",6,15
30,"Male",12,15.18218613
30,"Male",12,19.23077011
29,"Female",14,10.5
29,"Female",16,4.738562107
30,"Male",13,14.42307663
30,"Female",12,18.68241692
30,"Male",12,7.5
30,"Female",14,15.38461494
30,"Female",18,21.63461494
29,"Female",16,27.40384674
30,"Male",18,39.23077011
30,"Male",18,21.15384674
30,"Male",16,19.23077011
29,"Male",18,25.64102554
30,"Male",18,44.23077011
29,"Female",18,21.63461494
29,"Female",16,20.19230843
30,"Female",16,25.64102554
30,"Female",16,28.84615326
29,"Male",18,50
29,"Female",18,14.9572649
30,"Male",12,10.09615421
29,"Male",14,26.92307663
30,"Male",14,8.664422989
29,"Female",18,26.44230843
30,"Male",16,28.84615326
30,"Male",18,32.69230652
29,"Male",16,16.66666603
30,"Male",18,28.84615326
29,"Male",18,27.88461494
29,"Female",14,14.28571415
29,"Male",12,13.46153831
29,"Male",12,6.730769157
30,"Female",18,20.19230843
30,"Male",16,40.06410217
30,"Female",18,24.03846169
30,"Male",12,24.03846169
30,"Female",12,9.615385056
29,"Male",16,19.23077011
29,"Male",18,10.68376064
29,"Female",10,5.769230843
30,"Female",12,8.653845787
30,"Male",13,16.82692337
29,"Female",18,51.28205109
29,"Female",16,38.46154022
30,"Male",13,20.19230843
29,"Male",13,13.70192337
29,"Female",12,14.42307663
30,"Female",18,57.69230652
30,"Male",14,38.46154022
29,"Male",14,21.23077011
29,"Male",13,10.8740387
29,"Male",16,8.333333015
29,"Female",16,13.46263695
29,"Female",18,24.03846169
29,"Male",16,26.44230843
29,"Female",18,28.84615326
29,"Female",16,11.53846169
29,"Male",14,14.42307663
29,"Female",12,23.07692337
30,"Male",12,16.82692337
30,"Male",9,15.86538506
30,"Female",13,16.82692337
30,"Male",16,20.67307663
29,"Male",13,30.76922989
29,"Female",14,9.615385056
29,"Male",12,17.70833397
29,"Female",13,5.934065819
30,"Female",18,30
30,"Female",16,9.615385056
30,"Male",12,16.34615326
30,"Female",14,7.692307472
30,"Male",16,24.03926277
29,"Female",6,22.43589783
30,"Male",13,16.82692337
29,"Male",12,14.15384579
29,"Male",18,25.48077011
30,"Male",16,28.08675194
30,"Male",16,22.83653831
30,"Female",18,37.5
29,"Female",16,54.53450012
30,"Female",13,9.615385056
30,"Male",14,22.11538506
30,"Female",18,36.05769348
30,"Male",12,9.134614944
30,"Male",12,19.23077011
30,"Male",12,31.25
29,"Male",16,26.44230843
30,"Female",8,7.591093063
29,"Male",12,40.86538315
29,"Male",16,9.712510109
29,"Female",12,7.5
29,"Female",16,24.03846169
29,"Female",16,20.2429142
30,"Female",16,33.65384674
29,"Female",12,8.653845787
29,"Female",12,9.375
29,"Male",12,12.99376297
30,"Male",16,60.09615326
30,"Female",13,21.63461494
30,"Male",13,16.82692337
29,"Male",16,40.86538315
30,"Male",12,20.67307663
29,"Male",14,21.36752129
30,"Male",18,24.44444466
29,"Male",12,17.30769157
30,"Male",16,23.07692337
29,"Female",12,9.615385056
29,"Male",12,10.57692337
29,"Male",6,38.46154022
29,"Female",18,35.09615326
30,"Male",12,24.03846169
30,"Male",12,25.24038506
29,"Female",12,22.59615326
29,"Male",12,15.86538506
30,"Male",12,13.67521381
29,"Female",12,7.5
29,"Female",12,7.212339878
30,"Male",12,10.09615421
29,"Male",16,34.61538315
30,"Female",16,11.25
29,"Male",18,27.77777863
30,"Female",14,22.05882263
29,"Female",16,9.615385056
30,"Male",12,14.42307663
30,"Female",16,35.09615326
29,"Male",12,10.04807663
29,"Female",6,8.654808044
30,"Male",14,20.5128212
30,"Female",12,19.23077011
30,"Male",14,43.26922989
30,"Male",12,19.23077011
29,"Female",12,14.90384579
30,"Female",13,21.82952118
29,"Female",12,12.98076916
30,"Male",13,14.90384579
30,"Male",12,14.68531513
29,"Female",14,13.73626328
29,"Female",12,8.25
30,"Female",13,18.75
30,"Female",18,30.6837616
30,"Female",18,16.34615326
29,"Female",14,6.831984043
30,"Male",12,22.98077011
29,"Male",12,11.83431911
30,"Female",12,14.42307663
30,"Male",16,29.9145298
30,"Male",12,14.17004013
29,"Female",16,20.19230843
29,"Female",12,17.94871712
30,"Male",12,16.82692337
30,"Male",14,14.79591846
30,"Female",14,18.26922989
