"district","CDU","SPD","AfD","Die.Linke","Grune","FDP","unemploymentrate","migrantfraction","catholicfraction"
"Flensburg – Schleswig",39.999295187304,28.0145426352947,6.21468594720953,7.1291804203033,10.5128687051416,6.54477322651505,7.16,10,5.1
"Nordfriesland – Dithmarschen Nord",45.1483310490859,25.1521018701822,5.88103059441193,5.15007142805346,9.4531584252471,8.05142819849022,7.05,8,5.2
"Steinburg – Dithmarschen Süd",41.8786244202838,26.1462527600987,7.64270378888015,5.48199536991053,6.71668589503602,11.033518485976,6.3,9.2,4.2
"Rendsburg-Eckernförde",42.68042690036,28.8721476982998,6.82630587692663,5.17225916388003,8.95440160920424,6.45539454971749,5.18,8.5,4.9
"Kiel",30.5001134801009,31.0514932646222,6.13660334032015,7.37620656048489,14.403294928107,7.46231793119101,9.65,18,7.3
"Plön – Neumünster",40.6999823739932,28.9127819203151,7.83437684402517,5.37133398217474,8.99386155154841,7.18757902965001,6.72,10.8,5.6
"Pinneberg",39.6657621107499,30.3393428087805,7.91477471184073,6.05604664284371,8.2640586797066,7.76001504607861,4.96,15,6.4
"Segeberg – Stormarn-Mitte",41.1017789138714,27.3389326516772,8.18143878136575,5.65079033856748,8.34733162919297,8.14335646095258,4.39,13.3,5.8
"Ostholstein – Stormarn-Nord",41.5214477211796,30.7589754050589,7.85857908847185,4.41630726191864,6.94646811982749,7.31728639701597,6.32,8.4,6.1
"Herzogtum Lauenburg – Stormarn-Süd",39.495311897039,27.2050771268552,9.09199945766106,5.10267936296034,9.74541358559047,8.22530011159667,4.65,12.7,6.8
"Lübeck",35.296173471369,33.8415178744787,8.64793917318401,NA,13.037535240255,6.45469442912728,9.12,16.5,8.1
"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I",32.0651438076633,22.0930607402823,15.9655196869177,17.1859989813221,3.76330567429386,4.81615442641341,7.71,4.7,3.8
"Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I",30.0008285232953,23.9602032643818,17.4417962385042,16.1796790853103,4.04457455328786,5.72371509845618,8.33,3.6,3.2
"Rostock – Landkreis Rostock II",29.5393187785846,17.9094909947115,14.6568621408055,24.775946449044,5.14244504986501,4.54147610300916,8.83,5.5,3.1
"Vorpommern-Rügen – Vorpommern-Greifswald I",43.9848502922581,11.6259095789097,19.1900274364786,15.9083860193248,3.03053799355839,3.11881188118812,12.27,3.3,2.6
"Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ",31.2175437008103,13.8988947882378,23.4584268354987,19.0537473081077,2.52148663592682,5.75951781984208,13.15,3.3,3.1
"Mecklenburgische Seenplatte II – Landkreis Rostock III",37.6331552078871,15.7216187179181,18.3970114248397,17.3380895870345,3.33335674009367,4.6717552963647,11.41,2.6,4
"Hamburg-Mitte",24.260484507172,30.9251933364428,13,13.8303936980669,12.805984072417,6.43840585969216,10.7,28.3,10.8
"Hamburg-Altona",25.9237010184706,28.9142068013119,5.12894873122734,13.6309338857242,14.353875366822,8.63801139306059,6.51,28.3,9.1
