code,country,pop_density,pmdeaths_total,pmdeaths_female,pmdeaths_male,mean_income,edu_level3,edu_level4
416,3,2,20484.330395000005,16368.246180000002,24600.414610000007,36950,0.09638724476099014,0.33159375190734863
417,3,1,15327.68606,13122.83855,17532.53357,37008,0.10156432539224625,0.26956379413604736
267,1,2,14930,11442,18418,28537,0.11180529743432999,0.21989363431930542
92,1,1,16548,13522,19574,31561,0.11522674560546875,0.2277337610721588
98,1,1,15267.5,12273,18262,31396,0.11985204368829727,0.23151297867298126
423,3,1,17216.895055,14495.01212,19938.777990000002,28226,0.10897409170866013,0.2363351434469223
418,3,1,17809.613655,14275.736149999997,21343.491160000005,29251,0.08810405433177948,0.28857603669166565
268,1,2,15746.5,13e3,18493,31512,0.11580165475606918,0.22773532569408417
219,1,2,18e3,14679,21321,26339,0.12022999674081802,0.15093383193016052
160,1,1,14094.5,12258,15931,32334,0.1202106848359108,0.24629861116409302
83,1,1,12908.5,10094,15723,37758,0.12191936373710632,0.3196359872817993
244,1,1,11957,9967,13947,35144,0.11608025431632996,0.2581278383731842
321,1,3,18778,14461,23095,29704,0.0927165299654007,0.2086648792028427
322,1,3,12326,9960,14692,42003,0.10186707973480225,0.4033818542957306
299,1,2,16984.5,13707,20262,28631,0.11331935226917267,0.17375421524047852
93,1,2,19522.5,15330,23715,29663,0.13717515766620636,0.18989013135433197
125,1,2,15343,12533,18153,37314,0.107479989528656,0.18634606897830963
143,1,1,13629.5,11729,15530,40122,0.12618423998355865,0.3045458197593689
220,1,1,16079,13331,18827,28152,0.11275916546583176,0.20237967371940613
48,1,1,12740.5,10157,15324,34102,0.16453950107097626,0.3339957296848297
80,1,1,14873,12054,17692,33106,0.11823216080665588,0.28137537837028503
323,1,2,14214,11339,17089,38252,0.1156746968626976,0.21767489612102509
307,1,3,19695,15170,24220,29249,0.13027259707450867,0.2297724485397339
184,1,2,13848,11045,16651,33394,0.1228548213839531,0.24874891340732574
34,1,2,19747,15249,24245,24723,0.11423949152231216,0.19815774261951447
35,1,3,24034,18751,29317,22338,0.11607640236616135,0.15508273243904114
445,4,2,20502.5,16512,24493,23242,0.0984630435705185,0.1515849381685257
99,1,1,17811,14829,20793,26090,0.11358374357223511,0.15842874348163605
284,1,2,17747,14325,21169,26519,0.12019480019807816,0.221601203083992
191,1,1,16282.5,13797,18768,24363,0.09298920631408691,0.15129047632217407
54,1,3,16801.5,12721,20882,30248,0.15726949274539948,0.26381874084472656
62,1,2,12337,9700,14974,39148,0.12690682709217072,0.3030542731285095
314,1,2,18764,15e3,22528,27031,0.11271840333938599,0.2184264212846756
126,1,1,14060,11332,16788,36375,0.11984961479902267,0.22195126116275787
198,1,1,14311,11989,16633,26680,0.11084859818220139,0.18646228313446045
324,1,3,14527,10653,18401,36917,0.09725184738636017,0.3325270414352417
127,1,1,13027,11593,14461,55411,0.11423105746507645,0.30676203966140747
440,4,2,19249,14464,24034,28735,0.10824479907751083,0.22564755380153656
69,1,2,16591,12802,20380,34545,0.15980421006679535,0.36862075328826904
49,1,3,17871,14006,21736,30553,0.14587604999542236,0.3278135657310486
199,1,1,12598.5,9868,15329,30565,0.11950953304767609,0.2317836731672287
325,1,2,13102,10510,15694,49475,0.11512584239244461,0.33079588413238525
274,1,1,14406.5,11271,17542,34935,0.11744718253612518,0.3054327070713043
154,1,2,14250.5,12504,15997,37274,0.11223781108856201,0.1923046112060547
221,1,2,13888,11608,16168,33914,0.12146737426519394,0.2823682129383087
172,1,2,21336.5,17399,25274,25692,0.12309232354164124,0.18725594878196716
285,1,2,18392.5,15067,21718,30155,0.12314192205667496,0.2567952275276184
444,4,2,18404.5,15238,21571,26023,0.1123170554637909,0.1866365373134613
315,1,2,18093.5,15121,21066,29017,0.12269852310419083,0.24981515109539032
87,1,3,14905,10871,18939,36309,0.16926240921020508,0.4732612073421478
326,1,3,14011,10746,17276,54262,0.12083971500396729,0.5054983496665955
236,1,2,15781,12548,19014,28037,0.12680476903915405,0.17216899991035461
161,1,1,15178.5,12307,18050,35077,0.17557215690612793,0.2729596495628357
442,4,2,17368.5,13646,21091,30346,0.152012437582016,0.32326793670654297
94,1,1,17322.5,14725,19920,26428,0.12552502751350403,0.2219851315021515
437,4,1,15963.5,12694,19233,28898,0.11164543032646179,0.23902416229248047
128,1,2,14509.5,12552,16467,34186,0.10636843740940094,0.14619506895542145
81,1,1,13362.5,11180,15545,36762,0.12643571197986603,0.27269038558006287
435,4,1,15112,13025,17199,26246,0.19246584177017212,0.2792308032512665
185,1,2,13808.5,11710,15907,30207,0.1702229529619217,0.26774394512176514
129,1,1,12318.5,9366,15271,42569,0.12470529973506927,0.28796449303627014
137,1,2,13726.5,10523,16930,35407,0.13765519857406616,0.36228230595588684
226,1,1,13904.5,11616,16193,32433,0.11646770685911179,0.2806333899497986
74,1,1,14324,11827,16821,36535,0.12436673045158386,0.319501668214798
75,1,1,14889.5,11574,18205,33142,0.12908098101615906,0.2936277389526367
100,1,2,17094.5,14125,20064,28465,0.12082481384277344,0.21022255718708038
269,1,1,13656.5,10631,16682,32603,0.1276678442955017,0.3238721787929535
84,1,1,12585.5,9652,15519,57849,0.11051996052265167,0.4096011221408844
173,1,1,15850.5,12721,18980,28381,0.12626239657402039,0.2783096432685852
114,1,2,12259,10699,13819,35362,0.11308297514915466,0.2514830231666565
419,3,2,18631.211924999996,14053.900479999997,23208.523369999995,34898,0.0755246952176094,0.41437453031539917
396,3,1,21031.971725000003,16623.124020000003,25440.819430000003,28531,0.1015934869647026,0.21924054622650146
130,1,1,14753,11951,17555,36729,0.13838942348957062,0.2716030180454254
431,4,1,17751.5,14812,20691,28809,0.11280722916126251,0.25465652346611023
95,1,1,17672,14865,20479,37653,0.12435808032751083,0.20997048914432526
205,1,2,20515.5,16522,24509,25888,0.11088266223669052,0.14914570748806
77,1,1,15124.5,11877,18372,26927,0.13093557953834534,0.24985304474830627
138,1,1,12673,9650,15696,33815,0.11896497011184692,0.33652985095977783
73,1,1,18420.5,15459,21382,29039,0.1362866759300232,0.21457326412200928
308,1,2,18516.5,14773,22260,28573,0.14239726960659027,0.23047861456871033
212,1,1,13199,9916,16482,30907,0.12250601500272751,0.31764909625053406
270,1,2,14977.5,12045,17910,33311,0.11301138997077942,0.21542537212371826
327,1,3,15239,12909,17569,35415,0.11432169377803802,0.3177318572998047
155,1,2,13749,10938,16560,41874,0.11562038958072662,0.3092867136001587
31,1,2,17834.5,13765,21904,28998,0.1274997889995575,0.2371685951948166
162,1,2,16528,13355,19701,33910,0.11546120047569275,0.22048822045326233
206,1,1,14374,13060,15688,37330,0.1176563948392868,0.28808045387268066
432,4,1,18967.5,15173,22762,24003,0.11411677300930023,0.242442786693573
41,1,2,17363,13810,20916,30813,0.13044488430023193,0.24210403859615326
101,1,1,11681.5,9336,14027,34290,0.11082817614078522,0.3341709077358246
300,1,1,18970.5,14886,23055,28527,0.10667635500431061,0.17032448947429657
163,1,1,15978.5,12614,19343,31242,0.12091002613306046,0.21963843703269958
309,1,2,15965.5,12408,19523,27959,0.11860106140375137,0.19171260297298431
