"child_mortality","life_expectancy","radio_television_per_cap","log_population","civil_war","year","country_name","international_war","urban_population_pct","oil_production_per_cap","inequality_gini","gdp_per_cap","inflation","region_name","education15","government_effectiveness","political_stability","polity","healthcare","womens_civ_lib","media_censorship","internet_access"
110.9,49.5,0.013069947570494,16.5213603532817,1,1993,"Afghanistan",0,16.5,0,65.2375874747247,475.790008544922,371.636185429245,"South Asia",1.89940083026886,-1.74371625425353,-2.4712955420891,-7,-1.39153667308618,0.0867923876667035,-1.62270407238726,0
107.7,48.9,0.0129548484277588,16.5731486747888,1,1994,"Afghanistan",0,16.8,0,42.5400326463671,426.070007324219,-20.1465333676978,"South Asia",1.80235970020294,-1.95749657261296,-1.76535477719962,-10,-2.27575082613383,0.10083310247885,-1.62270407238726,0
105,49.4,0.0136182579786134,16.6223865095799,1,1995,"Afghanistan",0,17.1,0,59.0107656877917,512.419982910156,288.941897663434,"South Asia",1.86177277565002,-1.93790309853618,-2.27700338545364,-5,-3.15616842547659,0.10083310247885,-1.62270407238726,0
102.7,49.7,0.0160606803581429,16.6693133246716,1,1996,"Afghanistan",0,17.4,0,53.956828367905,526.070007324219,-18.1377268512198,"South Asia",1.92198193073273,-2.25425052642822,-2.54446744918823,-7,-2.18287474401659,0.0354187703747,-1.8903900228541,0
100.7,49.5,0.0163819341822007,16.7141363683626,1,1997,"Afghanistan",0,17.7,0,50.0390492149337,540.909973144531,-25.2870537373112,"South Asia",1.98297607898712,-2.23268013365207,-2.48401527373878,-7,-3.18881430310439,0.0323717145790441,-2.67813535443352,0
98.9,48.6,0.0181146709782129,16.7570362027534,1,1998,"Afghanistan",0,18,0,42.476680270758,556.200012207031,-20.9878580051884,"South Asia",2.04169821739197,-2.24097776412964,-2.56591248512268,-7,-1.91850068905633,0.0323717145790441,-2.67813535443352,0
97.2,50,0.0180945175279445,16.7981710974509,1,1999,"Afghanistan",0,19.1154853415964,0,56.9437183715036,571.260009765625,1432.20583599584,"South Asia",2.0981593132019,-2.44686843059016,-2.3160878995757,-7,-1.97804046395477,0.0323717145790441,-2.67813535443352,0
95.4,50.1,0,16.8376805546634,1,2000,"Afghanistan",0,29.7996722777967,0,53.1421476478609,565.22998046875,-27.6403180335723,"South Asia",2.1515519618988,-2.32460141181946,-2.56841588020325,-7,-2.48717923994418,0.0323717145790441,-2.67813535443352,0
93.4,50.4,0,16.8683280204551,1,2001,"Afghanistan",0,26.7365448399147,0,51.3039061476076,506.600006103516,813.88696692809,"South Asia",2.20188784599304,-2.10345676659822,-2.63672649349792,-3,-2.59548573986205,0.0483690169896447,-2.22056004046428,0
91.2,51,0,16.9030521632259,0,2002,"Afghanistan",0,35.2980514542936,0,61.1734256926161,618.719970703125,666.976927289898,"South Asia",2.24916648864746,-1.63653099536896,-2.21129369735718,-1,0.551975034840517,0.311387492264463,0.264408661429806,1
89,51.4,0,16.9403126862676,0,2003,"Afghanistan",0,5.71594276404056,0,61.913202212233,668.429992675781,-17.2496631850686,"South Asia",2.29338240623474,-1.17779183387756,-2.26279711723328,4,-0.118965216588864,0.305164086024572,0.359946633831763,1
86.7,51.8,0,16.9779206607909,0,2004,"Afghanistan",0,28.2162978061156,0,53.7810095012016,685.109985351562,279.241606696272,"South Asia",2.33454132080078,-0.883302450180054,-2.29548144340515,1,-0.0508387561572099,0.305164086024572,0.255406884459298,1
84.4,52,0.022731158553788,17.0144628202239,0,2005,"Afghanistan",0,42.0896986652909,0,48.6819759271582,757.789978027344,12.0859441757202,"South Asia",2.3756947517395,-1.22697818279266,-2.08842182159424,1,-0.645206424189856,0.247509866442287,0.704740511041296,1
82.3,52.1,0.0714583363670118,17.0498683168132,0,2006,"Afghanistan",0,31.0034597960764,0,30.7684689927466,790.159973144531,3.5143768787384,"South Asia",2.41684794425964,-1.48808073997498,-2.23109436035156,-4,-1.23521528827093,0.247509866442287,0.704740511041296,1
80.4,52.4,0.0766312059365805,17.0846966862427,0,2007,"Afghanistan",0,27.4367023059929,146.130436164743,29,862.619995117188,16.9753093719482,"South Asia",2.45800137519836,-1.40314328670502,-2.39628744125366,3,0.589728576506947,0.247509866442287,0.626490948570974,1
78.6,52.8,0,17.1190335873675,0,2008,"Afghanistan",0,23.9256948736539,428.481830422934,27.7999992370605,868.859985351562,22.6912937164307,"South Asia",1.52825951576233,-1.47849786281586,-2.68935298919678,1,-0.781306392603095,0.247509866442287,0.626490948570974,1
76.8,53.3,0,17.1530549995795,0,2009,"Afghanistan",0,32.1382560529759,5049.69344497363,27.8604247636514,661.731759659358,-13.2258062362671,"South Asia",1.52040147781372,-1.49946594238281,-2.70444989204407,-4,-0.741079620175536,0.247509866442287,0.712944282765604,1
75.1,53.6,0.0110779119052879,17.1868495138356,0,2010,"Afghanistan",0,58.1818730164939,5052.38814773414,43.0730687377987,1987.95437713793,12.8810405731201,"South Asia",1.51254343986511,-1.46557140350342,-2.54981923103333,-3,-1.24383936703568,0.252151558189944,0.712944282765604,1
133.4,48.4,0.00598635685088533,16.2790980100443,1,1993,"Angola",1,24,386.21065,46.8807627406003,576.200012207031,1379.47595214844,"Sub-Saharan Africa",1.97200000286102,-0.923201427594158,-1.45636472911926,-4,-2.17560891733524,0.268670447336663,-0.788471490992912,1
133.2,50,0.00622239419064169,16.3094333730357,1,1994,"Angola",1,24.5999999999999,368.28631,40.3053532443926,565.919982910156,949.77099609375,"Sub-Saharan Africa",2.01600003242493,-1.97862889496933,-0.760941756029555,-4,-1.32098273347151,0.268670447336663,-0.788471490992912,1
132.8,50.9,0.00644481543586623,16.3388755310012,0,1995,"Angola",1,25.2,438.4934,53.7091233816844,630.630004882812,2672.22998046875,"Sub-Saharan Africa",2.05999994277954,-1.83719387990646,-0.403263332441795,-5,-2.0011321503764,0.268670447336663,-0.788471490992912,1
132.3,51.3,0.00783959545567797,16.36747558264,0,1996,"Angola",0,25.8,543.70294,47.2799664630899,734.22998046875,4146.009765625,"Sub-Saharan Africa",2.10400009155273,-0.835242509841919,-2.10554718971252,-4,-3.06162106684428,0.268670447336663,-0.788471490992912,1
131.5,51.7,0.0114164659317513,16.3952803634138,0,1997,"Angola",0,26.4000000000001,492.73831,42.4678270395276,752.510009765625,221.492004394531,"Sub-Saharan Africa",2.14800000190735,-1.09184275997229,-2.10574974594675,-3,-1.21807804397326,0.268670447336663,-0.788471490992912,1
130.6,51.8,0.0139172545481724,16.4223329069936,1,1998,"Angola",1,27,330.6666,57.8671590481232,731.010009765625,107.429000854492,"Sub-Saharan Africa",2.19199991226196,-1.36405444145203,-2.34520602226257,-3,-3.09093123507705,0.268670447336663,-0.788471490992912,1
129.5,51.8,0.0168630444880159,16.4486728459148,1,1999,"Angola",1,26.6252790459074,457.48308,49.1108597604296,733.669982910156,248.248001098633,"Sub-Saharan Africa",2.23600006103516,-1.39517561902776,-1.85104266386746,-3,-1.56180496859383,0.268670447336663,-0.788471490992912,1
128.3,52.3,0.0193966854880233,16.4743367608047,1,2000,"Angola",1,26.8783955365631,679.8355,51.9599990844727,736.400024414062,325.028991699219,"Sub-Saharan Africa",2.27999997138977,-1.46161532402039,-2.0854606628418,-3,-1.92378145010229,0.268670447336663,-0.788471490992912,1
126.9,52.5,0,16.5036559665516,1,2001,"Angola",0,23.2326713478011,501.58331,55.2204470193101,741.099975585938,152.585998535156,"Sub-Saharan Africa",2.33099985122681,-1.45995680039618,-2.10906330461543,-3,-1.77892525420543,0.276127815689569,-0.788471490992912,1
125.5,53.3,0,16.5344364702041,0,2002,"Angola",0,22.7591836106146,619.15465,43.7634718530466,825.5,108.892997741699,"Sub-Saharan Africa",2.38199996948242,-1.25417792797089,-1.61517918109894,-2,-1.42272073143181,0.550100339928896,-0.788471490992912,1
124.1,53.9,0,16.565778834612,0,2003,"Angola",0,29.6064649182553,663.10958,57.5746929230912,824.97998046875,98.3420028686523,"Sub-Saharan Africa",2.43300008773804,-1.13841927051544,-1.02709352970123,-2,-1.87153570757895,0.585458855223128,-0.03057286099977,1
122.8,54.5,0.141320561398412,16.5965301404145,0,2004,"Angola",0,45.5280279132687,936.43936,43.6907371028745,885.22998046875,43.5589981079102,"Sub-Saharan Africa",2.48399996757507,-1.28460001945496,-1.03920745849609,-2,-1.88740428615077,0.585458855223128,-0.03057286099977,1
121.2,55.2,0,16.6259723308603,0,2005,"Angola",0,24.6536422122622,934.29372,42.8561651077477,1034.85998535156,22.9610004425049,"Sub-Saharan Africa",2.53499984741211,-1.16884434223175,-0.893931925296783,-2,-1.45552068281634,0.585458855223128,-0.03057286099977,1
119.4,55.7,0.0820634453253708,16.6539519764976,0,2006,"Angola",0,13.0285446168579,1078.8403,53.5295421180612,1213.88000488281,13.3050003051758,"Sub-Saharan Africa",2.58599996566772,-1.36832141876221,-0.540907263755798,-2,-1.83574568930729,0.585458855223128,-0.03057286099977,1
