"shareself","shareblue","sharewhite","sharedomestic","shareunemployed","nvoter","nazivote","sharenazis"
14.52451,46.67877,7.51894,23.72128,7.5565,20724,8915,43.0177571897317
17.76995,37.847,8.86076,27.10842,8.41387,61024,20388,33.4098059779759
21.00499,28.78295,6.1648,37.18949,6.85777,31741,9670,30.4653287546076
14.9859,45.92575,9.11449,21.09423,8.87963,67591,26634,39.4046544658312
11.46592,27.82162,29.76835,7.48931,23.4548,226176,100041,44.2314834465195
21.45603,30.40565,5.73774,35.49705,6.90353,30835,15255,49.4730014593806
18.4266,38.78074,6.23398,29.56744,6.99124,32939,15791,47.9401317587055
15.96905,44.34049,7.56757,23.82536,8.29753,57187,25943,45.3652053788448
17.04057,43.67858,6.48391,27.66537,5.13157,23404,13104,55.990428986498
12.85784,46.01309,13.09826,18.13811,9.8927,30513,14507,47.5436699111854
15.42178,41.32032,10.5162,23.94123,8.80047,27742,12908,46.5287290029558
18.12074,37.17381,6.88057,28.64732,9.17756,24094,11914,49.4479953515398
22.15256,28.31101,6.40032,35.85345,7.28266,26651,14212,53.3263292184158
17.21933,40.97764,8.52793,27.37719,5.89791,77067,37265,48.3540296105986
12.46292,24.78628,34.30067,8.46176,19.98837,27618,12047,43.6201028314867
21.90335,29.44825,5.74431,37.99759,4.9065,23822,14905,62.56821425573
22.19648,30.4297,6.57852,35.43413,5.36117,60257,33669,55.875665897738
18.67177,31.08632,12.43952,24.8656,12.93679,75824,37760,49.7995357670395
21.75747,22.48127,4.0918,43.66771,8.00175,32778,12242,37.3482213679907
13.14104,29.9066,30.09458,9.46954,17.38824,26276,9897,37.6655503120719
20.22556,27.73802,4.53745,40.83705,6.66192,30880,20064,64.9740932642487
18.41008,33.83018,12.41239,29.89974,5.44761,27263,16699,61.2515130396508
20.84993,28.40862,8.20404,35.79912,6.73829,34392,24055,69.9435915329146
19.87329,29.3051,6.04749,38.80389,5.97023,22402,15859,70.7927863583609
22.78379,21.0789,6.86571,41.57796,7.69364,41443,26633,64.2641700649084
17.0679,34.59844,10.09779,30.75879,7.47708,45140,23667,52.4302171023483
19.86311,29.94225,7.1016,33.92513,9.16791,30589,9951,32.5313021020628
19.36613,31.96492,6.42523,34.58771,7.65601,31380,18794,59.8916507329509
19.64737,37.42747,3.30308,32.38357,7.23851,15984,7348,45.970970970971
10.45354,31.77672,19.05067,6.88474,31.83433,51441,20623,40.0905892187166
12.94097,37.58819,20.74318,15.88664,12.84102,26777,12866,48.0486985099152
17.7727,32.67086,12.95535,25.34074,11.26035,26883,13982,52.0105642971395
17.11958,34.0372,12.14526,28.0992,8.59876,35805,20009,55.8832565284178
15.64901,42.71273,6.68939,24.53353,10.41534,22064,7215,32.7003263234228
13.5855,26.84832,16.79751,6.00165,36.76702,217223,64730,29.7988702853749
9.55362,32.39763,18.60494,4.01612,35.42769,436417,116065,26.5949768226261
13.90276,26.09557,24.00202,6.74913,29.25052,482382,144590,29.974169848792
10.48016,31.02945,20.51328,4.52016,33.45695,310835,85388,27.4705229462577
